version,0.288,,,,,,,,,,,,,,,,
Label,Description,P_Familj,Group Name,Variable Name,Internet link,Latin,p_Smaprov,P_Stora,P_BuskarTrad,P_Barande,P_Habitat,P_hävd,P_Mossor,P_Fukt,P_KalkSilikat,P_sida_nordiskafloran,Datum införande
Blåeld,,Strävbladiga,Artrikt,Blaeld,https://sv.wikipedia.org/wiki/Blåeld,Echium vulgare,,,,,,,,,,488,
"Ox-, Hund-, Fårtunga",,Strävbladiga,Artrikt,Tungor,https://sv.wikipedia.org/wiki/Oxtunga,Anchusa,,,,,,,,,,,
Rågvallmo,,Vallmoväxter,Artrikt,Ragvallmo,https://sv.wikipedia.org/wiki/Rågvallmo,Papaver dubium,,,,,,,,,,,
Spikvallmo,,Vallmoväxter,Artrikt,Spikvallmo,https://sv.wikipedia.org/wiki/Spikvallmo,Papaver argemone,,,,,,,,,,,
Styvmorsviol,,Violväxter,Artrikt,Styvmorsviol,https://sv.wikipedia.org/wiki/Styvmorsviol,Viola tricolor,,,,,,,,Torr,,402,
Gullviva,,Viveväxter,Artrikt,Gullviva,https://sv.wikipedia.org/wiki/Gullviva,Primula veris,,,,,,,,,,460,
Harklöver,,Ärtväxter,Artrikt,Harklover,https://sv.wikipedia.org/wiki/Harklöver,Trifolium arvense,,,,,,,,Torr,,358,
Getväppling,,Ärtväxter,Artrikt,Getvappling,https://sv.wikipedia.org/wiki/Getväppling,Anthyllis vulneraria,,,,,,,,,,362,
Käringtand,,Ärtväxter,Artrikt,Karingtand,https://sv.wikipedia.org/wiki/Käringtand,Lotus corniculatus,,,,,,,,,,362,
Hassel,,Björkväxter,BarandeTB,Hassel,https://sv.wikipedia.org/wiki/Hassel,Corylus avellana,,,Buskar,,,,,,,,2015-08-13
Brakved,,Brakvedsväxter,BarandeTB,Brakved,https://sv.wikipedia.org/wiki/Brakved,Rhamnus frangula,,,Buskar,,,,,,,,2015-08-13
Getapel,,Brakvedsväxter,BarandeTB,Getapel,https://sv.wikipedia.org/wiki/Getapel,Rhamnus cathartica,,,Buskar,,,,,,,,2015-08-13
Druvfläder,,Desmeknoppsväxter,BarandeTB,Druvflader,https://sv.wikipedia.org/wiki/Druvfl%C3%A4der,Sambucus racemosa,,,Buskar,,,,,,,,2015-08-13
Fläder,,Desmeknoppsväxter,BarandeTB,Flader,https://sv.wikipedia.org/wiki/Fl%C3%A4der,Sambucus nigra,,,Buskar,,,,,,,,2015-08-13
Olvon,,Desmeknoppsväxter,BarandeTB,Olvon,https://sv.wikipedia.org/wiki/Olvon,Viburnum opulus,,,Buskar,,,,,,,,2015-08-13
Havtorn,,Havtornsväxter,BarandeTB,Havtorn,https://sv.wikipedia.org/wiki/Havtorn,Hippophaë rhamnoides,,,Buskar,,,,,,,,2015-08-13
Idegran,,Idegransväxter,BarandeTB,Idegran,https://sv.wikipedia.org/wiki/Idegran,Taxus baccata,,,Träd,,,,,,,,2015-08-13
