version,0.288,,,,,,,,,,,,,,,,
Label,Description,P_Familj,Group Name,Variable Name,Internet link,Latin,p_Smaprov,P_Stora,P_BuskarTrad,P_Barande,P_Habitat,P_hävd,P_Mossor,P_Fukt,P_KalkSilikat,P_sida_nordiskafloran,Datum införande
Mjölkört,,Dunörtsväxter,SmaProvArt,Mjolkort,https://sv.wikipedia.org/wiki/Mj%C3%B6lk%C3%B6rt,Chamaenerion angustifolium,sprov,Stor art,,,,,,,,414,
Dyblad,,Dybladsväxter,SmaProvArt,Dyblad,https://sv.wikipedia.org/wiki/Dyblad,Hydrocharis morsus-ranae,sprov,,,,,,,Vatten,,748,
Fackelblomster,,Fackelblomsväxter,SmaProvArt,Fackelblomster,https://sv.wikipedia.org/wiki/Fackelblomster,Lythrum salicaria,sprov,,,,,,,,,409,
Kantig fetknopp,,Fetbladsväxter,SmaProvArt,Kantig_fetknopp,https://sv.wikipedia.org/wiki/Kantig_fetknopp,Sedum sexangulare,sprov,,,,,,,Torr,,246,
Kärleksört,,Fetbladsväxter,SmaProvArt,Karleksort,https://sv.wikipedia.org/wiki/K%C3%A4rleks%C3%B6rt,Hylotelephium telephium,sprov,,,,,,,Torr,,243,
Liten fetknopp,,Fetbladsväxter,SmaProvArt,Liten_fetknopp,https://sv.wikipedia.org/wiki/Liten_fetknopp,Sedum annuum,sprov,,,,,,,Torr,,246,
Vit fetknopp,,Fetbladsväxter,SmaProvArt,Vit_fetknopp,https://sv.wikipedia.org/wiki/Vit_fetknopp,Sedum album,sprov,,,,,,,Torr,,246,
Gul fetknopp,,Fetbladsväxter,SmaProvArt,Gul_fetknopp,https://sv.wikipedia.org/wiki/Gul_fetknopp,Sedum acre,sprov,,,,,,,,,246,
Kärrsilja,,Flockblommiga,SmaProvArt,Karrsilja,https://sv.wikipedia.org/wiki/K%C3%A4rrsilja,Peucedanum palustre,sprov,,,,,,,Blöt,,445,
Strätta,,Flockblommiga,SmaProvArt,Stratta,https://sv.wikipedia.org/wiki/Str%C3%A4tta,Angelica sylvestris,sprov,,,,,,,Blöt,,444,
Bockrot,,Flockblommiga,SmaProvArt,Bockrot,https://sv.wikipedia.org/wiki/Bockrot,Pimpinella saxifraga,sprov,,,,,Gynnad,,,,432,
Hundkäx,,Flockblommiga,SmaProvArt,Hundkax,https://sv.wikipedia.org/wiki/Hundk%C3%A4x,Anthriscus sylvestris,sprov,Stor art,,,,,,,,430,
Jätteloka,,Flockblommiga,SmaProvArt,Jatteloka,https://sv.wikipedia.org/wiki/J%C3%A4tteloka,Heracleum mantegazzianum,sprov,Stor art,,,,,,,,447,
Kirskål,,Flockblommiga,SmaProvArt,Kirskal,https://sv.wikipedia.org/wiki/Kirsk%C3%A5l,Aegopodium podagraria,sprov,Stor art,,,,Ogynnad,,,,433,
Kummin,,Flockblommiga,SmaProvArt,Kummin,https://sv.wikipedia.org/wiki/Kummin,Carum carvi,sprov,,,,,,,,,442,
Vildmorot,,Flockblommiga,SmaProvArt,Vildmorot,https://sv.wikipedia.org/wiki/Vildmorot,Daucus carota subsp. carota,sprov,,,,,,,,,448,
Kärrfräken,,Fräkenväxter,SmaProvArt,Karrfraken,https://sv.wikipedia.org/wiki/K%C3%A4rrfr%C3%A4ken,Equisetum palustre,sprov,,,,,,,Blöt,,40,
Sjöfräken,,Fräkenväxter,SmaProvArt,Sjofraken,https://sv.wikipedia.org/wiki/Sj%C3%B6fr%C3%A4ken,Equisetum fluviatile,sprov,,,,,,,Vatten,,41,
Skavfräken,,Fräkenväxter,SmaProvArt,Skavfraken,https://sv.wikipedia.org/wiki/Skavfr%C3%A4ken,Equisetum hyemale,sprov,,,,,,,,,39,
Skogsfräken,,Fräkenväxter,SmaProvArt,Skogsfraken,https://sv.wikipedia.org/wiki/Skogsfr%C3%A4ken,Equisetum sylvaticum,sprov,,,,,,,,,41,
Åkerfräken,,Fräkenväxter,SmaProvArt,Akerfraken,http://linnaeus.nrm.se/flora/orm/equiseta/equis/equiarv.html,Equisetum arvense,sprov,,,,,,,,,40,
Ängsfräken,,Fräkenväxter,SmaProvArt,Angsfraken,http://linnaeus.nrm.se/flora/orm/equiseta/equis/equipra.html,Equisetum pratense,sprov,,,,,,,,,40,
Klockgentiana,,Gentianaväxter,SmaProvArt,Klockgentiana,https://sv.wikipedia.org/wiki/Klockgentiana,Gentiana pneumonanthe,sprov,,,,,,,,,471,
Fält-/vårveronika,,Grobladsväxter,SmaProvArt,Falt_varveronika,http://linnaeus.nrm.se/flora/di/scrophularia/veron/veroarv.html,Veronica arvensis/V. verna,sprov,,,,,,,Torr,,544,
Axveronika,,Grobladsväxter,SmaProvArt,Axveronika,https://sv.wikipedia.org/wiki/Axveronika,Veronica spicata,sprov,,,,,,,,,542,
Groblad,,Grobladsväxter,SmaProvArt,Groblad,https://sv.wikipedia.org/wiki/Groblad,Plantago major,sprov,,,,,,,,,566,
Gulkämpar,,Grobladsväxter,SmaProvArt,Gulkampar,https://sv.wikipedia.org/wiki/Gulk%C3%A4mpar,Plantago maritima,sprov,,,,,,,,,567,
Gulsporre,,Grobladsväxter,SmaProvArt,Gulsporre,https://sv.wikipedia.org/wiki/Gulsporre,Linaria vulgaris,sprov,,,,,,,,,537,
Majveronika,,Grobladsväxter,SmaProvArt,Majveronika,https://sv.wikipedia.org/wiki/Majveronika,Veronica serpyllifolia,sprov,,,,,,,,,542,
Rödkämpar,,Grobladsväxter,SmaProvArt,Rodkampar,https://sv.wikipedia.org/wiki/R%C3%B6dk%C3%A4mpar,Plantago media,sprov,,,,,,,,,566,
Svartkämpar,,Grobladsväxter,SmaProvArt,Svartkampar,https://sv.wikipedia.org/wiki/Svartk%C3%A4mpar,Plantago lanceolata,sprov,,,,,,,,,566,
Teveronika,,Grobladsväxter,SmaProvArt,Teveronika,https://sv.wikipedia.org/wiki/Teveronika,Veronica chamaedrys,sprov,,,,,,,,,542,
Ärenpris,,Grobladsväxter,SmaProvArt,Arenpris,http://linnaeus.nrm.se/flora/di/scrophularia/veron/verooff.html,Veronica officinalis,sprov,,,,,,,,,542,
Kärrkavle,,Gräs,SmaProvArt,Karrkavle,https://sv.wikipedia.org/wiki/K%C3%A4rrkavle,Alopecurus geniculatus,sprov,,,,,,,Blöt,,873,
Vårbrodd,,Gräs,SmaProvArt,Varbrodd,https://sv.wikipedia.org/wiki/V%C3%A5rbrodd,Anthoxanthum odoratum,sprov,,,,,,,Torr,,865,
Bergslok,,Gräs,SmaProvArt,Bergslok,,Melica nutans,sprov,,,,,,,,,840,
Blåtåtel,,Gräs,SmaProvArt,Blatatel,https://sv.wikipedia.org/wiki/Bl%C3%A5t%C3%A5tel,Molinia caerulea,sprov,Stor art,,,,,,,,876,
Darrgräs,,Gräs,SmaProvArt,Darrgras,https://sv.wikipedia.org/wiki/Darrgr%C3%A4s,Briza media,sprov,,,,,,,,,840,
Flentimotej,,Gräs,SmaProvArt,Flentimotej,https://sv.wikipedia.org/wiki/Flentimotej,Phleum phleoides,sprov,,,,,,,,,871,
Fårsvingel,,Gräs,SmaProvArt,Farsvingel,https://sv.wikipedia.org/wiki/F%C3%A5rsvingel,Festuca ovina,sprov,,,,,,,,,821,
Gren-/brunrör,,Gräs,SmaProvArt,Gren_brunror,https://sv.wikipedia.org/wiki/Brun-/grenr%C3%B6r,Calamagrostis phragmitoides,sprov,Stor art,,,,,,,,869,
Gröe-arter övriga,,Gräs,SmaProvArt,Groe_arter_ovriga,https://sv.wikipedia.org/wiki/Gr%C3%B6e-arter %C3%B6vriga,Poa,sprov,,,,,,,,,828,
Hundäxing,,Gräs,SmaProvArt,Hundaxing,https://sv.wikipedia.org/wiki/Hund%C3%A4xing,Dactylis glomerata,sprov,,,,,,,,,838,
Jättegröe,,Gräs,SmaProvArt,Jattegroe,https://sv.wikipedia.org/wiki/J%C3%A4ttegr%C3%B6e,Glyceria maxima,sprov,Stor art,,,,,,,,842,
Knylhavre,,Gräs,SmaProvArt,Knylhavre,https://sv.wikipedia.org/wiki/Knylhavre,Arrhenatherum elatius,sprov,Stor art,,,,,,,,860,
Knägräs,,Gräs,SmaProvArt,Knagras,https://sv.wikipedia.org/wiki/Kn%C3%A4gr%C3%A4s,Danthonia decumbens,sprov,,,,,,,,,876,
Kruståtel,,Gräs,SmaProvArt,Krustatel,https://sv.wikipedia.org/wiki/Krust%C3%A5tel,Avenella flexuosa,sprov,,,,,,,,,862,
Kvickrot,,Gräs,SmaProvArt,Kvickrot,https://sv.wikipedia.org/wiki/Kvickrot,Elytrigia repens,sprov,,,,,,,,,856,
Ludd-/lentåtel,,Gräs,SmaProvArt,Ludd_lentatel,https://sv.wikipedia.org/wiki/Ludd-/lent%C3%A5tel,Holcus lanatus/H. mollis,sprov,,,,,,,,,865,
Luddhavre,,Gräs,SmaProvArt,Luddhavre,https://sv.wikipedia.org/wiki/Luddhavre,Avenula pubescens,sprov,,,,,,,,,858,
Luddlosta,,Gräs,SmaProvArt,Luddlosta,https://sv.wikipedia.org/wiki/Luddlosta,Bromus hordeaceus subsp. hordeaceus,sprov,,,,,,,,,849,
Lundgröe,,Gräs,SmaProvArt,Lundgroe,https://sv.wikipedia.org/wiki/Lundgr%C3%B6e,Poa nemoralis,sprov,,,,,,,,,832,
Mannagräs,,Gräs,SmaProvArt,Mannagras,https://sv.wikipedia.org/wiki/Mannagr%C3%A4s,Glyceria fluitans,sprov,,,,,,,,,843,
Piprör,,Gräs,SmaProvArt,Pipror,https://sv.wikipedia.org/wiki/Pipr%C3%B6r,Calamagrostis arundinacea,sprov,Stor art,,,,,,,,870,
Rödsvingel,,Gräs,SmaProvArt,Rodsvingel,https://sv.wikipedia.org/wiki/R%C3%B6dsvingel,Festuca rubra,sprov,,,,,,,,,822,
Rörflen,,Gräs,SmaProvArt,Rorflen,https://sv.wikipedia.org/wiki/R%C3%B6rflen,Phalaris arundinacea,sprov,Stor art,,,,,,,,872,
Stagg,,Gräs,SmaProvArt,Stagg,https://sv.wikipedia.org/wiki/Stagg,Nardus stricta,sprov,,,,,,,,,876,
Timotej/ängskavle,,Gräs,SmaProvArt,Timotej_Angskavle,http://linnaeus.nrm.se/flora/mono/poa/alope/aloppra.html,,sprov,,,,,,,,,871,
Tuvtåtel,,Gräs,SmaProvArt,Tuvtatel,https://sv.wikipedia.org/wiki/Tuvt%C3%A5tel,Deschampsia cespitosa,sprov,,,,,,,,,862,
Vass,,Gräs,SmaProvArt,Vass,https://sv.wikipedia.org/wiki/Vass,Phragmites australis,sprov,Stor art,,,,,,,,875,
Ven-arter,,Gräs,SmaProvArt,Ven_arter,https://sv.wikipedia.org/wiki/Ven-arter,Agrostis,sprov,,,,,,,,,866,
Vit-/trampgröe,,Gräs,SmaProvArt,Vit_trampgroe,https://sv.wikipedia.org/wiki/Vit-/trampgr%C3%B6e,Poa annua/P. supina,sprov,,,,,,,,,827,
Älväxing,,Gräs,SmaProvArt,Alvaxing,https://sv.wikipedia.org/wiki/%C3%84lv%C3%A4xing,Sesleria uliginosa,sprov,,,,,,,,,840,
Ängshavre,,Gräs,SmaProvArt,Angshavre,,Avenula pratensis,sprov,,,,,,,,,858,
Ängssvingel,,Gräs,SmaProvArt,Angssvingel,https://sv.wikipedia.org/wiki/%C3%84ngssvingel,Schedonorus pratensis,sprov,,,,,,,,,824,
Ag,,Halvgräs,SmaProvArt,Ag,http://www.biopix.net/search.aspx?q=Cladium%20mariscus,Cladium mariscus,sprov,Stor art,,,,,,,,782,
Blåsstarr,,Halvgräs,SmaProvArt,Blasstarr,https://sv.wikipedia.org/wiki/Bl%C3%A5sstarr,Carex vesicaria,sprov,,,,,,,,,796,
Flaskstarr,,Halvgräs,SmaProvArt,Flaskstarr,https://sv.wikipedia.org/wiki/Flaskstarr,Carex rostrata,sprov,Stor art,,,,,,,,796,
Hedsäv,,Halvgräs,SmaProvArt,Hedsav,https://sv.wikipedia.org/wiki/Heds%C3%A4v,Trichophorum cespitosum subsp. germanicum,sprov,,,,,,,,,776,
Hirsstarr,,Halvgräs,SmaProvArt,Hirsstarr,https://sv.wikipedia.org/wiki/Hirsstarr,Carex panicea,sprov,,,,,,,,,800,
Hundstarr,,Halvgräs,SmaProvArt,Hundstarr,https://sv.wikipedia.org/wiki/Hundstarr,Carex nigra,sprov,,,,,,,,,815,
Norrlandsstarr,,Halvgräs,SmaProvArt,Norrlandsstarr,https://sv.wikipedia.org/wiki/Norrlandsstarr,Carex aquatilis,sprov,Stor art,,,,,,,,813,
Plattstarr,,Halvgräs,SmaProvArt,Plattstarr,https://sv.wikipedia.org/wiki/Plattstarr,Carex disticha,sprov,,,,,,,,,788,
Skogssäv,,Halvgräs,SmaProvArt,Skogssav,https://sv.wikipedia.org/wiki/Skogss%C3%A4v,Scirpus sylvaticus,sprov,Stor art,,,,,,,,774,
Slankstarr,,Halvgräs,SmaProvArt,Slankstarr,https://sv.wikipedia.org/wiki/Slankstarr,Carex flacca,sprov,,,,,,,,Kalk,799,
Säv/blåsäv,,Halvgräs,SmaProvArt,Sav_blasav,https://sv.wikipedia.org/wiki/S%C3%A4v/bl%C3%A5s%C3%A4v,Schoenoplectus lacustris/S. tabernaemontani,sprov,Stor art,,,,,,,,775,
Trådstarr,,Halvgräs,SmaProvArt,Tradstarr,https://sv.wikipedia.org/wiki/Tr%C3%A5dstarr,Carex lasiocarpa,sprov,Stor art,,,,,,,,794,
Tuv-/stylt-/bunkestarr,,Halvgräs,SmaProvArt,Tuv_stylt_bunkestarr,https://sv.wikipedia.org/wiki/Tuv-/stylt-/bunkestarr,Carex cespitosa/C. nigra var juncea/C. elata,sprov,Stor art,,,,,,,,814,
Tuvsäv,,Halvgräs,SmaProvArt,Tuvsav,https://sv.wikipedia.org/wiki/Tuvs%C3%A4v,Trichophorum cespitosum subsp. cespitosum,sprov,,,,,,,,,776,
Tuvull,,Halvgräs,SmaProvArt,Tuvull,https://sv.wikipedia.org/wiki/Tuvull,Eriophorum vaginatum,sprov,,,,,,,,,779,
Vasstarr,,Halvgräs,SmaProvArt,Vasstarr,https://sv.wikipedia.org/wiki/Vasstarr,Carex acuta,sprov,Stor art,,,,,,,,815,
Ängsull,,Halvgräs,SmaProvArt,Angsull,https://sv.wikipedia.org/wiki/%C3%84ngsull,Eriophorum angustifolium,sprov,,,,,,,,,778,
Harsyra,,Harsyreväxter,SmaProvArt,Harsyra,https://sv.wikipedia.org/wiki/Harsyra,Oxalis acetosella,sprov,,,,,,,,,367,
Gul svärdslilja,,Irisväxter,SmaProvArt,Gul_svardslilja,https://sv.wikipedia.org/wiki/sv%C3%A4rdslilja,Iris pseudacorus,sprov,Stor art,,,,,,,,711,
Fyrkantig johannesört,,Johannesörtsväxter,SmaProvArt,Fyrkantig_johannesort,https://sv.wikipedia.org/wiki/Fyrkantig_johannes%C3%B6rt,Hypericum maculatum,sprov,,,,,,,,,396,
Äkta johannesört,,Johannesörtsväxter,SmaProvArt,Akta_johannesort,https://sv.wikipedia.org/wiki/%C3%84kta_johannes%C3%B6rt,Hypericum perforatum,sprov,,,,,,,,,396,
Jungfrulin,,Jungfrulinsväxter,SmaProvArt,Jungfrulin,https://sv.wikipedia.org/wiki/Jungfrulin,Polygala vulgaris,sprov,,,,,,,,,381,
Andmat (ej kors-),,Kallaväxter,SmaProvArt,Andmat,https://sv.wikipedia.org/wiki/Andmat,Lemna minor,sprov,,,,,,,,,743,
Åkervädd,,Kaprifolväxter,SmaProvArt,Akervadd,http://sv.wikipedia.org/wiki/%C3%85kerv%C3%A4dd,Knautia arvensis,sprov,,,,,,,,,577,
Ängsvädd,,Kaprifolväxter,SmaProvArt,Angsvadd,http://www.biopix.net/search1.aspx?searchtext=Succisa%20pratensis&category=insekter&q=Succisa%20pratensis,Succisa pratensis,sprov,,,,,,,,,577,
Bred-/smalkaveldun,,Kaveldunsväxter,SmaProvArt,Bredkaveldun_smal,https://sv.wikipedia.org/wiki/Bred-/smalkaveldun,Typha latifolia/T. angustifolia,sprov,Stor art,,,,,,,,759,
Liten blåklocka,,Klockväxter,SmaProvArt,Liten_blaklocka,https://sv.wikipedia.org/wiki/Liten_bl%C3%A5klocka,Campanula rotundifolia subsp. rotundifolia,sprov,,,,,,,,,580,
Stor blåklocka,,Klockväxter,SmaProvArt,Stor_blaklocka,https://sv.wikipedia.org/wiki/Stor_bl%C3%A5klocka,Campanula persicifolia,sprov,,,,,,,,,580,
Kattfot,,Korgblommiga,SmaProvArt,Kattfot,https://sv.wikipedia.org/wiki/Kattfot,Antennaria dioica,sprov,,,,,,,Torr,,598,
Baldersbrå,,Korgblommiga,SmaProvArt,Baldersbra,https://sv.wikipedia.org/wiki/Baldersbr%C3%A5,Tripleurospermum inodorum,sprov,,,,,,,,,615,
Blåklint,,Korgblommiga,SmaProvArt,Blaklint,https://sv.wikipedia.org/wiki/Bl%C3%A5klint,Centaurea cyanus,sprov,,,,,,,,,647,
Borsttistel,,Korgblommiga,SmaProvArt,Borsttistel,https://sv.wikipedia.org/wiki/Borsttistel,Cirsium heterophyllum,sprov,Stor art,,,,,,,,642,
Brun-/nickskära,,Korgblommiga,SmaProvArt,Brunskara,https://sv.wikipedia.org/wiki/Brun-/nicksk%C3%A4ra,Bidens tripartita,sprov,,,,,,,,,602,
Cikoria,,Korgblommiga,SmaProvArt,Cikoria,https://sv.wikipedia.org/wiki/Cikoria,Cichorium intybus,sprov,,,,,,,,,649,
Flockfibbla,,Korgblommiga,SmaProvArt,Flockfibbla,https://sv.wikipedia.org/wiki/Flockfibbla,Hieracium umbellatum,sprov,,,,,,,,,683,
Fältmalört,,Korgblommiga,SmaProvArt,Faltmalort,https://sv.wikipedia.org/wiki/F%C3%A4ltmal%C3%B6rt,Artemisia campestris,sprov,,,,,,,,,621,
Gatkamomill,,Korgblommiga,SmaProvArt,Gatkamomill,https://sv.wikipedia.org/wiki/Gatkamomill,Matricaria discoidea,sprov,,,,,,,,,616,
Gråbo,,Korgblommiga,SmaProvArt,Grabo,https://sv.wikipedia.org/wiki/Gr%C3%A5bo,Artemisia vulgaris,sprov,Stor art,,,,,,,,618,
Gråbo,,Korgblommiga,SmaProvArt,Grabo,https://sv.wikipedia.org/wiki/Gr%C3%A5bo,Artemisia vulgaris,sprov,,,,,,,,,,
Gråfibbla,,Korgblommiga,SmaProvArt,Grafibbla,https://sv.wikipedia.org/wiki/Gr%C3%A5fibbla,Pilosella officinarum,sprov,,,,,,,,,676,
Gullris,,Korgblommiga,SmaProvArt,Gullris,https://sv.wikipedia.org/wiki/Gullris,Solidago virgaurea,sprov,,,,,,,,,590,
Hagfibblor,,Korgblommiga,SmaProvArt,Hagfibblor,https://sv.wikipedia.org/wiki/Hagfibblor,Hieracium sect. Vulgata,sprov,,,,,,,,,682,
Harkål,,Korgblommiga,SmaProvArt,Harkal,https://sv.wikipedia.org/wiki/Hark%C3%A5l,Lapsana communis,sprov,,,,,,,,,657,
Hästhov,,Korgblommiga,SmaProvArt,Hasthov,https://sv.wikipedia.org/wiki/H%C3%A4sthov,Tussilago farfara,sprov,,,,,,,,,632,
Höstfibbla,,Korgblommiga,SmaProvArt,Hostfibbla,https://sv.wikipedia.org/wiki/H%C3%B6stfibbla,Scorzoneroides autumnalis,sprov,,,,,,,,,650,
Kanadensiskt gullris,,Korgblommiga,SmaProvArt,Kanadensiskt_gullris,https://sv.wikipedia.org/wiki/Kanadensiskt_gullris,Solidago canadensis,sprov,Stor art,,,,,,,,590,
Kardborre-arter,,Korgblommiga,SmaProvArt,Kardborre_arter,https://sv.wikipedia.org/wiki/Kardborre-arter,Arctium spp.,sprov,,,,,,,,,638,
Krustistel,,Korgblommiga,SmaProvArt,Krustistel,https://sv.wikipedia.org/wiki/Krustistel,Carduus crispus,sprov,,,,,,,,,640,
Kärrtistel,,Korgblommiga,SmaProvArt,Karrtistel,https://sv.wikipedia.org/wiki/K%C3%A4rrtistel,Cirsium palustre,sprov,,,,,,,,,642,
Maskrosor,,Korgblommiga,SmaProvArt,Maskrosor,https://sv.wikipedia.org/wiki/Maskrosor,Taraxacum spp,sprov,,,,,,,,,662,
Nysört,,Korgblommiga,SmaProvArt,Nysort,https://sv.wikipedia.org/wiki/Nys%C3%B6rt,Achillea ptarmica,sprov,,,,,,,,,612,
Prästkrage,,Korgblommiga,SmaProvArt,Prastkrage,https://sv.wikipedia.org/wiki/Pr%C3%A4stkrage,Leucanthemum vulgare,sprov,,,,,,,,,614,
Renfana,,Korgblommiga,SmaProvArt,Renfana,https://sv.wikipedia.org/wiki/Renfana,Tanacetum vulgare,sprov,Stor art,,,,,,,,618,
Revfibbla,,Korgblommiga,SmaProvArt,Revfibbla,https://sv.wikipedia.org/wiki/Revfibbla,Pilosella lactucella,sprov,,,,,,,,,676,
Rödklint,,Korgblommiga,SmaProvArt,Rodklint,https://sv.wikipedia.org/wiki/R%C3%B6dklint,Centaurea jacea,sprov,,,,,,,,,646,
Röllika,,Korgblommiga,SmaProvArt,Rollika,https://sv.wikipedia.org/wiki/R%C3%B6llika,Achillea millefolium,sprov,,,,,,,,,612,
Skogsfibblor,,Korgblommiga,SmaProvArt,Skogsfibblor,https://sv.wikipedia.org/wiki/Skogsfibblor,Hieracium sect. Hieracium,sprov,,,,,,,,,681,
Skogssallat,,Korgblommiga,SmaProvArt,Skogssallat,https://sv.wikipedia.org/wiki/Skogssallat,Lactuca muralis,sprov,,,,,,,,,656,
Slåtterfibbla,,Korgblommiga,SmaProvArt,Slatterfibbla,https://sv.wikipedia.org/wiki/Sl%C3%A5tterfibbla,Hypochaeris maculata,sprov,,,,,,,,,651,
Sommarfibbla,,Korgblommiga,SmaProvArt,Sommarfibbla,https://sv.wikipedia.org/wiki/Sommarfibbla,Leontodon hispidus,sprov,,,,,,,,,649,
Styvfibblor,,Korgblommiga,SmaProvArt,Styvfibblor,https://sv.wikipedia.org/wiki/Styvfibblor,Hieracium sect. Tridentata,sprov,,,,,,,,,682,
Svinrot,,Korgblommiga,SmaProvArt,Svinrot,https://sv.wikipedia.org/wiki/Svinrot,Scorzonera humilis,sprov,,,,,,,,,652,
Väddklint,,Korgblommiga,SmaProvArt,Vaddklint,https://sv.wikipedia.org/wiki/V%C3%A4ddklint,Centaurea scabiosa,sprov,,,,,,,,,646,
Vägtistel,,Korgblommiga,SmaProvArt,Vagtistel,https://sv.wikipedia.org/wiki/V%C3%A4gtistel,Cirsium vulgare,sprov,Stor art,,,,,,,,642,
Åkertistel,,Korgblommiga,SmaProvArt,Akertistel,https://sv.wikipedia.org/wiki/%C3%85kertistel,Cirsium arvense,sprov,Stor art,,,,,,,,642,
Ängshaverrot,,Korgblommiga,SmaProvArt,Angshaverrot,https://sv.wikipedia.org/wiki/%C3%84ngshaverrot,Tragopogon pratensis,sprov,,,,,,,,,653,
Ryssgubbe,,Korsblommiga,SmaProvArt,Ryssgubbe,https://sv.wikipedia.org/wiki/Ryssgubbe,Bunias orientalis,sprov,,,,,,,,,211,
Sommargyllen,,Korsblommiga,SmaProvArt,Sommargyllen,https://sv.wikipedia.org/wiki/Sommargyllen,Barbarea vulgaris,sprov,,,,,,,,,649,
Ängs-/kärrbräsma,,Korsblommiga,SmaProvArt,Angs_karrbrasma,https://sv.wikipedia.org/wiki/%C3%84ngsbr%C3%A4sma,Cardamine pratensis ssp. pratensis/ssp. paludosa,sprov,,,,,,,,,218,
Backtimjan,,Kransblommiga,SmaProvArt,Backtimjan,https://sv.wikipedia.org/wiki/Backtimjan,Thymus serpyllum,sprov,,,,,,,,,519,
Brunört,,Kransblommiga,SmaProvArt,Brunort,https://sv.wikipedia.org/wiki/Brun%C3%B6rt,Prunella vulgaris,sprov,,,,,,,,,517,
Dån (alla),,Kransblommiga,SmaProvArt,Dan,https://sv.wikipedia.org/wiki/D%C3%A5nsl%C3%A4ktet,Galeopsis,sprov,,,,,,,,,508,
Harmynta,,Kransblommiga,SmaProvArt,Harmynta,https://sv.wikipedia.org/wiki/Harmynta,Clinopodium acinos,sprov,,,,,,,,,518,
Jordreva,,Kransblommiga,SmaProvArt,Jordreva,https://sv.wikipedia.org/wiki/Jordreva,Glechoma hederacea,sprov,,,,,,,,,516,
Knölsyska,,Kransblommiga,SmaProvArt,Knolsyska,https://sv.wikipedia.org/wiki/Kn%C3%B6lsyska,Stachys palustris,sprov,,,,,,,,,513,
Plister (alla),,Kransblommiga,SmaProvArt,Plister,https://sv.wikipedia.org/wiki/Plistersl%C3%A4ktet,Lamium,sprov,,,,,,,,,510,
Stinksyska,,Kransblommiga,SmaProvArt,Stinksyska,https://sv.wikipedia.org/wiki/Stinksyska,Stachys sylvatica,sprov,,,,,,,,,513,
Strandklo,,Kransblommiga,SmaProvArt,Strandklo,https://sv.wikipedia.org/wiki/Strandklo,Lycopus europaeus,sprov,,,,,,,,,519,
Filtlavar övriga,,Lavar,SmaProvArt,Filtlavar_ovriga,,Peltigera,sprov,,,,,,Lavar,Torr,,,
Hedlavar (Islandslavar),,Lavar,SmaProvArt,Hedlavar,https://sv.wikipedia.org/wiki/Cetraria,Cetraria,sprov,,,,,,Lavar,Torr,,,
Påskrislavar,,Lavar,SmaProvArt,Paskrislavar,https://sv.wikipedia.org/wiki/Stereocaulon,Stereocaulon,sprov,,,,,,Lavar,Torr,,,
Renlavar,,Lavar,SmaProvArt,Renlavar,https://sv.wikipedia.org/wiki/Renlavar,Cladina,sprov,,,,,,Lavar,Torr,,,
Säcklav,,Lavar,SmaProvArt,Sacklav,http://www.nrm.se/faktaomnaturenochrymden/vaxter/kryptogamer/manadenskryptogam/lavar/sacklavarkalkalskandelavar.3706.html,Solorina saccata,sprov,,,,,,Lavar,Torr,Kalk,,
Tusch-/navellavar,,Lavar,SmaProvArt,Tusch_navellavar,https://sv.wikipedia.org/wiki/Tuschlav,Lasallia/Umbilicaria,sprov,,,,,,Lavar,Torr,,,
Brosklavar,,Lavar,SmaProvArt,Brosklavar,https://sv.wikipedia.org/wiki/Brosklavar,Ramalina,sprov,,,,,,Lavar,,,,
Gelélavar,,Lavar,SmaProvArt,Gelelavar,https://sv.wikipedia.org/wiki/Gelélavar,Collema,sprov,,,,,,Lavar,,,,
Masklav,,Lavar,SmaProvArt,Masklav,https://sv.wikipedia.org/wiki/Masklav,Thamnolia vermicularis,sprov,,,,,,Lavar,,,,
Sipperlavar,,Lavar,SmaProvArt,Sipperlavar,https://sv.wikipedia.org/wiki/Sipperlavar,Dermatocarpon,sprov,,,,,,Lavar,,,,
Skinnlavar,,Lavar,SmaProvArt,Skinnlavar,https://sv.wikipedia.org/wiki/Skinnlavar,Leptogium,sprov,,,,,,Lavar,,,,
Snölav,,Lavar,SmaProvArt,Snolav,https://sv.wikipedia.org/wiki/Snölav,Flavocetraria nivalis,sprov,,,,,,Lavar,,,,
Sprödlavar,,Lavar,SmaProvArt,Sprodlavar,https://sv.wikipedia.org/wiki/Sprödlavar,Sphaerophorus,sprov,,,,,,Lavar,,,,
Strutlav,,Lavar,SmaProvArt,Strutlav,https://sv.wikipedia.org/wiki/Strutlav,Flavocetraria cucullata,sprov,,,,,,Lavar,,,,
Torsklavar,,Lavar,SmaProvArt,Torsklavar,https://sv.wikipedia.org/wiki/Torsklavar,Peltigera aphthosa/P. vermicularis,sprov,,,,,,Lavar,,,,
Vildlin,,Linväxter,SmaProvArt,Vildlin,https://sv.wikipedia.org/wiki/Vildlin,Linum catharticum,sprov,,,,,,,,,375,
Blåbär,,Ljungväxter,SmaProvArt,Blabar,https://sv.wikipedia.org/wiki/Bl%C3%A5b%C3%A4r,Vaccinium myrtillus,sprov,,,,,,,,,459,
Klockljung,,Ljungväxter,SmaProvArt,Klockljung,https://sv.wikipedia.org/wiki/Klockljung,Erica tetralix,sprov,,,,,,,,,456,
